survived,pclass,sex,age,sibsp,parch,fare,adult_male,alone,difference from mean,fare_zscore,fare zscore,difference from mean (age),age zscore,child,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_Unknown,embark_Queenstown,embark_Southampton,embark_Unknown,family size
1,3,0,,0,0,7.75,0,1,-24.45420796857464,-0.4921014439716465,-0.4921014439716465,,,0,0,0,0,0,0,0,1,1,0,0,0
0,3,1,,2,0,21.6792,1,0,-10.525007968574634,-0.211798788405027,-0.211798788405027,,,0,0,0,0,0,0,0,1,0,0,0,2
0,3,0,18.0,1,0,17.8,0,0,-14.404207968574635,-0.2898614238380763,-0.2898614238380763,-11.69911764705882,-0.8053639758717436,1,0,0,0,0,0,0,1,0,1,0,1
0,3,1,7.0,4,1,39.6875,0,0,7.483292031425364,0.1505891672737165,0.1505891672737165,-22.69911764705882,-1.5626008891030887,1,0,0,0,0,0,0,1,0,1,0,5
0,3,1,21.0,0,0,7.8,1,1,-24.404207968574635,-0.4910952747172507,-0.4910952747172507,-8.69911764705882,-0.5988448177177403,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,49.0,1,0,76.7292,0,0,44.52499203142537,0.895993560684828,0.895993560684828,19.30088235294118,1.3286673250529566,0,0,0,1,0,0,0,0,0,0,0,1
1,2,0,29.0,1,0,26.0,0,0,-6.204207968574636,-0.1248496661171533,-0.1248496661171533,-0.6991176470588201,-0.0481270626403983,0,0,0,0,0,0,0,1,0,1,0,1
0,1,1,65.0,0,1,61.9792,1,0,29.774992031425363,0.5991736306380456,0.5991736306380456,35.30088235294118,2.43010283520764,0,1,0,0,0,0,0,0,0,0,0,1
1,1,1,,0,0,35.5,1,1,3.295792031425364,0.0663224922180622,0.0663224922180622,,,0,0,1,0,0,0,0,0,0,1,0,0
1,2,0,21.0,0,0,10.5,0,1,-21.70420796857464,-0.4367621349798736,-0.4367621349798736,-8.69911764705882,-0.5988448177177403,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,28.5,0,0,7.2292,1,1,-24.97500796857464,-0.502581702925434,-0.502581702925434,-1.19911764705882,-0.0825469223327322,0,0,0,0,0,0,0,1,0,0,0,0
1,2,0,5.0,1,2,27.75,0,0,-4.454207968574636,-0.0896337422132978,-0.0896337422132978,-24.69911764705882,-1.700280327872424,1,0,0,0,0,0,0,1,0,1,0,3
0,3,1,11.0,5,2,46.9,0,0,14.695792031425364,0.295729082220321,0.295729082220321,-18.69911764705882,-1.2872420115644176,1,0,0,0,0,0,0,1,0,1,0,7
0,3,1,22.0,0,0,7.2292,1,1,-24.97500796857464,-0.502581702925434,-0.502581702925434,-7.69911764705882,-0.5300050983330725,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,38.0,0,0,80.0,0,1,47.79579203142536,0.9618131286303884,0.9618131286303884,8.30088235294118,0.5714304118216114,0,1,0,0,0,0,0,0,0,0,1,0
0,1,1,45.0,1,0,83.475,1,0,51.27079203142536,1.0317418918109011,1.0317418918109011,15.30088235294118,1.0533084475142855,0,0,1,0,0,0,0,0,0,1,0,1
0,3,1,4.0,3,2,27.9,0,0,-4.304207968574637,-0.0866152344501102,-0.0866152344501102,-25.69911764705882,-1.7691200472570918,1,0,0,0,0,0,0,1,0,1,0,5
0,1,1,,0,0,27.7208,1,1,-4.483407968574635,-0.090221345057865,-0.090221345057865,,,0,0,0,0,0,0,0,1,0,0,0,0
1,3,1,,1,1,15.2458,1,0,-16.958407968574637,-0.341260574029635,-0.341260574029635,,,0,0,0,0,0,0,0,1,0,0,0,2
1,2,0,29.0,0,0,10.5,0,1,-21.70420796857464,-0.4367621349798736,-0.4367621349798736,-0.6991176470588201,-0.0481270626403983,0,0,0,0,0,1,0,0,0,1,0,0
0,3,1,19.0,0,0,8.1583,1,1,-24.045907968574635,-0.4838850658402499,-0.4838850658402499,-10.69911764705882,-0.7365242564870758,0,0,0,0,0,0,0,1,0,1,0,0
1,3,0,17.0,4,2,7.925,0,0,-24.279207968574635,-0.488579851581261,-0.488579851581261,-12.69911764705882,-0.8742036952564113,1,0,0,0,0,0,0,1,0,1,0,6
0,3,1,26.0,2,0,8.6625,1,0,-23.541707968574634,-0.4737388550789219,-0.4737388550789219,-3.69911764705882,-0.2546462207944016,0,0,0,0,0,0,0,1,0,1,0,2
0,2,1,32.0,0,0,10.5,1,1,-21.70420796857464,-0.4367621349798736,-0.4367621349798736,2.30088235294118,0.1583920955136048,0,0,0,0,0,0,0,1,0,1,0,0
0,3,0,16.0,5,2,46.9,0,0,14.695792031425364,0.295729082220321,0.295729082220321,-13.69911764705882,-0.943043414641079,1,0,0,0,0,0,0,1,0,1,0,7
0,2,1,21.0,0,0,73.5,1,1,41.29579203142536,0.8310111255589249,0.8310111255589249,-8.69911764705882,-0.5988448177177403,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,26.0,1,0,14.4542,1,0,-17.750007968574636,-0.3571902456652305,-0.3571902456652305,-3.69911764705882,-0.2546462207944016,0,0,0,0,0,0,0,1,0,0,0,1
1,3,1,32.0,0,0,56.4958,1,1,24.291592031425367,0.4888290608469592,0.4888290608469592,2.30088235294118,0.1583920955136048,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,25.0,0,0,7.65,1,1,-24.55420796857464,-0.4941137824804383,-0.4941137824804383,-4.69911764705882,-0.3234859401790693,0,0,0,0,0,1,0,0,0,1,0,0
0,3,1,,0,0,7.8958,1,1,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,,,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,,,0,0,0,0,0,0,0,1,0,1,0,0
1,2,1,0.83,0,2,29.0,0,0,-3.204207968574636,-0.064479510853401,-0.064479510853401,-28.86911764705882,-1.9873419577064888,1,0,0,0,0,0,0,1,0,1,0,2
1,3,0,30.0,0,0,12.475,0,1,-19.729207968574634,-0.3970184494312366,-0.3970184494312366,0.3008823529411799,0.0207126567442693,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,22.0,0,0,9.0,1,1,-23.20420796857464,-0.4669472126117498,-0.4669472126117498,-7.69911764705882,-0.5300050983330725,0,0,0,0,0,0,0,1,0,1,0,0
1,3,1,29.0,0,0,9.5,1,1,-22.70420796857464,-0.4568855200677911,-0.4568855200677911,-0.6991176470588201,-0.0481270626403983,0,0,0,0,0,0,0,1,0,1,0,0
1,3,0,,0,0,7.7875,0,1,-24.416707968574634,-0.4913468170308496,-0.4913468170308496,,,0,0,0,0,0,0,0,1,1,0,0,0
0,1,1,28.0,0,0,47.1,1,1,14.895792031425366,0.2997537592379046,0.2997537592379046,-1.69911764705882,-0.1169667820250661,0,0,0,0,0,0,0,1,0,1,0,0
1,2,0,17.0,0,0,10.5,0,1,-21.70420796857464,-0.4367621349798736,-0.4367621349798736,-12.69911764705882,-0.8742036952564113,1,0,0,0,0,0,0,1,0,1,0,0
1,3,0,33.0,3,0,15.85,0,0,-16.354207968574634,-0.3291020247595153,-0.3291020247595153,3.30088235294118,0.2272318148982726,0,0,0,0,0,0,0,1,0,1,0,3
0,3,1,16.0,1,3,34.375,1,0,2.170792031425364,0.0436836839941551,0.0436836839941551,-13.69911764705882,-0.943043414641079,1,0,0,0,0,0,0,1,0,1,0,4
0,3,1,,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,,,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,23.0,3,2,263.0,0,0,230.79579203142535,4.644392599719279,4.644392599719279,-6.69911764705882,-0.4611653789484048,0,0,1,0,0,0,0,0,0,1,0,5
0,3,1,24.0,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,-5.69911764705882,-0.392325659563737,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,29.0,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,-0.6991176470588201,-0.0481270626403983,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,20.0,0,0,7.8542,1,1,-24.35000796857464,-0.4900045872454856,-0.4900045872454856,-9.69911764705882,-0.667684537102408,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,46.0,1,0,61.175,1,0,28.97079203142536,0.5829904043503424,0.5829904043503424,16.30088235294118,1.1221481668989532,0,0,0,0,1,0,0,0,0,1,0,1
0,3,1,26.0,1,2,20.575,1,0,-11.629207968574637,-0.2340190302191054,-0.2340190302191054,-3.69911764705882,-0.2546462207944016,0,0,0,0,0,0,0,1,0,1,0,3
0,3,1,59.0,0,0,7.25,1,1,-24.95420796857464,-0.5021631365156053,-0.5021631365156053,29.30088235294118,2.017064518899634,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,,,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,71.0,0,0,34.6542,1,1,2.449992031425367,0.0493021331107017,0.0493021331107017,41.30088235294118,2.843141151515647,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,23.0,0,1,63.3583,1,0,31.154092031425364,0.6269257910127927,0.6269257910127927,-6.69911764705882,-0.4611653789484048,0,0,0,1,0,0,0,0,0,0,0,1
1,2,0,34.0,0,1,23.0,0,0,-9.204207968574636,-0.1852198213809056,-0.1852198213809056,4.30088235294118,0.2960715342829403,0,0,0,0,0,0,0,1,0,1,0,1
0,2,1,34.0,1,0,26.0,1,0,-6.204207968574636,-0.1248496661171533,-0.1248496661171533,4.30088235294118,0.2960715342829403,0,0,0,0,0,0,0,1,0,1,0,1
0,3,0,28.0,0,0,7.8958,0,1,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,-1.69911764705882,-0.1169667820250661,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,,0,0,7.8958,1,1,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,,,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,21.0,0,1,77.2875,1,0,45.08329203142536,0.907228446579412,0.907228446579412,-8.69911764705882,-0.5988448177177403,0,0,0,1,0,0,0,0,0,1,0,1
0,3,1,33.0,0,0,8.6542,1,1,-23.55000796857464,-0.4739058791751516,-0.4739058791751516,3.30088235294118,0.2272318148982726,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,37.0,2,0,7.925,1,0,-24.279207968574635,-0.488579851581261,-0.488579851581261,7.30088235294118,0.5025906924369435,0,0,0,0,0,0,0,1,0,1,0,2
0,3,1,28.0,0,0,7.8958,1,1,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,-1.69911764705882,-0.1169667820250661,0,0,0,0,0,0,0,1,0,1,0,0
1,3,0,21.0,0,0,7.65,0,1,-24.55420796857464,-0.4941137824804383,-0.4941137824804383,-8.69911764705882,-0.5988448177177403,0,0,0,0,0,0,0,1,0,1,0,0
1,3,1,,0,0,7.775,1,1,-24.42920796857464,-0.4915983593444487,-0.4915983593444487,,,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,38.0,0,0,7.8958,1,1,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,8.30088235294118,0.5714304118216114,0,0,0,0,0,0,0,1,0,1,0,0
1,3,0,,1,0,24.15,0,0,-8.054207968574637,-0.1620779285298006,-0.1620779285298006,,,0,0,0,0,0,0,0,1,1,0,0,1
0,1,1,47.0,0,0,52.0,1,1,19.795792031425364,0.3983583461687,0.3983583461687,17.30088235294118,1.190987886283621,0,0,1,0,0,0,0,0,0,1,0,0
0,3,0,14.5,1,0,14.4542,0,0,-17.750007968574636,-0.3571902456652305,-0.3571902456652305,-15.19911764705882,-1.0463029937180806,1,0,0,0,0,0,0,1,0,0,0,1
0,3,1,22.0,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,-7.69911764705882,-0.5300050983330725,0,0,0,0,0,0,0,1,0,1,0,0
0,3,0,20.0,1,0,9.825,0,0,-22.37920796857464,-0.4503454199142179,-0.4503454199142179,-9.69911764705882,-0.667684537102408,0,0,0,0,0,0,0,1,0,1,0,1
0,3,0,17.0,0,0,14.4583,0,1,-17.745907968574635,-0.35710773978637,-0.35710773978637,-12.69911764705882,-0.8742036952564113,1,0,0,0,0,0,0,1,0,0,0,0
0,3,1,21.0,0,0,7.925,1,1,-24.279207968574635,-0.488579851581261,-0.488579851581261,-8.69911764705882,-0.5988448177177403,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,70.5,0,0,7.75,1,1,-24.45420796857464,-0.4921014439716465,-0.4921014439716465,40.80088235294118,2.808721291823313,0,0,0,0,0,0,0,1,1,0,0,0
0,2,1,29.0,1,0,21.0,1,0,-11.204207968574636,-0.2254665915567405,-0.2254665915567405,-0.6991176470588201,-0.0481270626403983,0,0,0,0,0,0,0,1,0,1,0,1
0,1,1,24.0,0,1,247.5208,1,0,215.3165920314254,4.332898697266388,4.332898697266388,-5.69911764705882,-0.392325659563737,0,1,0,0,0,0,0,0,0,0,0,1
0,3,0,2.0,4,2,31.275,0,0,-0.9292079685746372,-0.0186988097783889,-0.0186988097783889,-27.69911764705882,-1.9067994860264277,1,0,0,0,0,0,0,1,0,1,0,6
0,2,1,21.0,2,0,73.5,1,0,41.29579203142536,0.8310111255589249,0.8310111255589249,-8.69911764705882,-0.5988448177177403,0,0,0,0,0,0,0,1,0,1,0,2
0,3,1,,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,,,0,0,0,0,0,0,0,1,0,1,0,0
0,2,1,32.5,1,0,30.0708,1,0,-2.133407968574637,-0.042931390101259,-0.042931390101259,2.80088235294118,0.1928119552059387,0,0,0,0,0,0,0,1,0,0,0,1
1,2,0,32.5,0,0,13.0,0,1,-19.20420796857464,-0.38645367226008,-0.38645367226008,2.80088235294118,0.1928119552059387,0,0,0,0,1,0,0,0,0,1,0,0
0,1,1,54.0,0,1,77.2875,1,0,45.08329203142536,0.907228446579412,0.907228446579412,24.30088235294118,1.6728659219762951,0,0,0,1,0,0,0,0,0,1,0,1
1,3,1,12.0,1,0,11.2417,0,0,-20.962507968574634,-0.4218366202601652,-0.4218366202601652,-17.69911764705882,-1.21840229217975,1,0,0,0,0,0,0,1,0,0,0,1
0,3,1,,0,0,7.75,1,1,-24.45420796857464,-0.4921014439716465,-0.4921014439716465,,,0,0,0,0,0,0,0,1,1,0,0,0
1,3,1,24.0,0,0,7.1417,1,1,-25.06250796857464,-0.5043424991206268,-0.5043424991206268,-5.69911764705882,-0.392325659563737,0,0,0,0,0,0,0,1,0,1,0,0
1,3,0,,1,1,22.3583,0,0,-9.845907968574636,-0.1981329975918223,-0.1981329975918223,,,0,0,0,0,0,1,0,0,0,0,0,2
0,3,1,45.0,0,0,6.975,1,1,-25.229207968574634,-0.5076970674147826,-0.5076970674147826,15.30088235294118,1.0533084475142855,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,33.0,0,0,7.8958,1,1,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,3.30088235294118,0.2272318148982726,0,0,0,0,0,0,0,1,0,0,0,0
0,3,1,20.0,0,0,7.05,1,1,-25.154207968574635,-0.5061878135331888,-0.5061878135331888,-9.69911764705882,-0.667684537102408,0,0,0,0,0,0,0,1,0,1,0,0
0,3,0,47.0,1,0,14.5,0,0,-17.704207968574636,-0.3562685946282038,-0.3562685946282038,17.30088235294118,1.190987886283621,0,0,0,0,0,0,0,1,0,1,0,1
1,2,0,29.0,1,0,26.0,0,0,-6.204207968574636,-0.1248496661171533,-0.1248496661171533,-0.6991176470588201,-0.0481270626403983,0,0,0,0,0,0,0,1,0,1,0,1
0,2,1,25.0,0,0,13.0,1,1,-19.20420796857464,-0.38645367226008,-0.38645367226008,-4.69911764705882,-0.3234859401790693,0,0,0,0,0,0,0,1,0,1,0,0
0,2,1,23.0,0,0,15.0458,1,1,-17.158407968574636,-0.3452852510472186,-0.3452852510472186,-6.69911764705882,-0.4611653789484048,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,19.0,0,2,26.2833,0,0,-5.920907968574635,-0.1191487111217463,-0.1191487111217463,-10.69911764705882,-0.7365242564870758,0,0,0,1,0,0,0,0,0,1,0,2
0,1,1,37.0,1,0,53.1,1,0,20.89579203142537,0.4204940697654092,0.4204940697654092,7.30088235294118,0.5025906924369435,0,0,1,0,0,0,0,0,0,1,0,1
0,3,1,16.0,0,0,9.2167,1,1,-22.98750796857464,-0.4625864750631981,-0.4625864750631981,-13.69911764705882,-0.943043414641079,1,0,0,0,0,0,0,1,0,1,0,0
0,1,1,24.0,0,0,79.2,1,1,46.99579203142537,0.9457144205600544,0.9457144205600544,-5.69911764705882,-0.392325659563737,0,1,0,0,0,0,0,0,0,0,0,0
0,3,0,,0,2,15.2458,0,0,-16.958407968574637,-0.341260574029635,-0.341260574029635,,,0,0,0,0,0,0,0,1,0,0,0,2
1,3,0,22.0,0,0,7.75,0,1,-24.45420796857464,-0.4921014439716465,-0.4921014439716465,-7.69911764705882,-0.5300050983330725,0,0,0,0,0,0,0,1,0,1,0,0
1,3,0,24.0,1,0,15.85,0,0,-16.354207968574634,-0.3291020247595153,-0.3291020247595153,-5.69911764705882,-0.392325659563737,0,0,0,0,0,0,0,1,0,1,0,1
0,3,1,19.0,0,0,6.75,1,1,-25.45420796857464,-0.512224829059564,-0.512224829059564,-10.69911764705882,-0.7365242564870758,0,0,0,0,0,0,0,1,1,0,0,0
0,2,1,18.0,0,0,11.5,1,1,-20.70420796857464,-0.4166387498919562,-0.4166387498919562,-11.69911764705882,-0.8053639758717436,1,0,0,0,0,0,0,1,0,1,0,0
0,2,1,19.0,1,1,36.75,1,0,4.545792031425364,0.0914767235779591,0.0914767235779591,-10.69911764705882,-0.7365242564870758,0,0,0,0,0,0,0,1,0,1,0,2
1,3,1,27.0,0,0,7.7958,1,1,-24.40840796857464,-0.49117979293462,-0.49117979293462,-2.69911764705882,-0.1858065014097338,0,0,0,0,0,0,0,1,0,1,0,0
0,3,0,9.0,2,2,34.375,0,0,2.170792031425364,0.0436836839941551,0.0436836839941551,-20.69911764705882,-1.4249214503337533,1,0,0,0,0,0,0,1,0,1,0,4
0,2,1,36.5,0,2,26.0,1,0,-6.204207968574636,-0.1248496661171533,-0.1248496661171533,6.80088235294118,0.4681708327446097,0,0,0,0,0,1,0,0,0,1,0,2
0,2,1,42.0,0,0,13.0,1,1,-19.20420796857464,-0.38645367226008,-0.38645367226008,12.30088235294118,0.8467892893602823,0,0,0,0,0,0,0,1,0,1,0,0
0,2,1,51.0,0,0,12.525,1,1,-19.67920796857464,-0.3960122801768408,-0.3960122801768408,21.30088235294118,1.466346763822292,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,22.0,1,0,66.6,0,0,34.39579203142536,0.6921597684522944,0.6921597684522944,-7.69911764705882,-0.5300050983330725,0,0,1,0,0,0,0,0,0,1,0,1
0,3,1,55.5,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,25.80088235294118,1.7761255010532968,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,40.5,0,2,14.5,1,0,-17.704207968574636,-0.3562685946282038,-0.3562685946282038,10.80088235294118,0.7435297102832806,0,0,0,0,0,0,0,1,0,1,0,2
