survived,pclass,sex,age,sibsp,parch,fare,adult_male,deck,embark_town,alone,difference from mean,fare_zscore,fare zscore,difference from mean (age),age zscore
1,1,female,49.0,1,0,76.7292,False,D,Cherbourg,False,44.52499203142537,0.895993560684828,0.895993560684828,19.30088235294118,1.3286673250529566
1,2,female,29.0,1,0,26.0,False,,Southampton,False,-6.204207968574636,-0.12484966611715337,-0.12484966611715337,-0.6991176470588201,-0.04812706264039836
0,1,male,65.0,0,1,61.9792,True,B,Cherbourg,False,29.774992031425363,0.5991736306380456,0.5991736306380456,35.30088235294118,2.43010283520764
1,1,male,,0,0,35.5,True,C,Southampton,True,3.295792031425364,0.06632249221806229,0.06632249221806229,,
1,2,female,21.0,0,0,10.5,False,,Southampton,True,-21.704207968574636,-0.43676213497987365,-0.43676213497987365,-8.69911764705882,-0.5988448177177403
0,3,male,28.5,0,0,7.2292,True,,Cherbourg,True,-24.975007968574637,-0.502581702925434,-0.502581702925434,-1.19911764705882,-0.08254692233273223
1,2,female,5.0,1,2,27.75,False,,Southampton,False,-4.454207968574636,-0.08963374221329785,-0.08963374221329785,-24.69911764705882,-1.7002803278724241
0,3,male,11.0,5,2,46.9,False,,Southampton,False,14.695792031425363,0.29572908222032107,0.29572908222032107,-18.69911764705882,-1.2872420115644176
0,3,male,22.0,0,0,7.2292,True,,Cherbourg,True,-24.975007968574637,-0.502581702925434,-0.502581702925434,-7.69911764705882,-0.5300050983330725
1,1,female,38.0,0,0,80.0,False,B,,True,47.795792031425364,0.9618131286303883,0.9618131286303883,8.30088235294118,0.5714304118216114
0,1,male,45.0,1,0,83.475,True,C,Southampton,False,51.27079203142536,1.0317418918109011,1.0317418918109011,15.30088235294118,1.0533084475142855
0,3,male,4.0,3,2,27.9,False,,Southampton,False,-4.304207968574637,-0.08661523445011025,-0.08661523445011025,-25.69911764705882,-1.7691200472570918
0,1,male,,0,0,27.7208,True,,Cherbourg,True,-4.483407968574635,-0.09022134505786503,-0.09022134505786503,,
1,3,male,,1,1,15.2458,True,,Cherbourg,False,-16.958407968574637,-0.34126057402963506,-0.34126057402963506,,
1,2,female,29.0,0,0,10.5,False,F,Southampton,True,-21.704207968574636,-0.43676213497987365,-0.43676213497987365,-0.6991176470588201,-0.04812706264039836
0,3,male,19.0,0,0,8.1583,True,,Southampton,True,-24.045907968574635,-0.4838850658402499,-0.4838850658402499,-10.69911764705882,-0.7365242564870758
1,3,female,17.0,4,2,7.925,False,,Southampton,False,-24.279207968574635,-0.48857985158126105,-0.48857985158126105,-12.69911764705882,-0.8742036952564113
0,3,male,26.0,2,0,8.6625,True,,Southampton,False,-23.541707968574634,-0.4737388550789219,-0.4737388550789219,-3.69911764705882,-0.2546462207944016
0,2,male,32.0,0,0,10.5,True,,Southampton,True,-21.704207968574636,-0.43676213497987365,-0.43676213497987365,2.30088235294118,0.15839209551360486
0,3,female,16.0,5,2,46.9,False,,Southampton,False,14.695792031425363,0.29572908222032107,0.29572908222032107,-13.69911764705882,-0.943043414641079
0,2,male,21.0,0,0,73.5,True,,Southampton,True,41.295792031425364,0.8310111255589249,0.8310111255589249,-8.69911764705882,-0.5988448177177403
0,3,male,26.0,1,0,14.4542,True,,Cherbourg,False,-17.750007968574636,-0.3571902456652305,-0.3571902456652305,-3.69911764705882,-0.2546462207944016
1,3,male,32.0,0,0,56.4958,True,,Southampton,True,24.291592031425367,0.48882906084695926,0.48882906084695926,2.30088235294118,0.15839209551360486
0,3,male,25.0,0,0,7.65,True,F,Southampton,True,-24.554207968574637,-0.49411378248043836,-0.49411378248043836,-4.69911764705882,-0.32348594017906934
0,3,male,,0,0,7.8958,True,,Southampton,True,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,,
0,3,male,,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,,
1,2,male,0.83,0,2,29.0,False,,Southampton,False,-3.204207968574636,-0.06447951085340105,-0.06447951085340105,-28.86911764705882,-1.9873419577064888
1,3,female,30.0,0,0,12.475,False,,Southampton,True,-19.729207968574634,-0.39701844943123665,-0.39701844943123665,0.30088235294117993,0.020712656744269385
0,3,male,22.0,0,0,9.0,True,,Southampton,True,-23.204207968574636,-0.4669472126117498,-0.4669472126117498,-7.69911764705882,-0.5300050983330725
1,3,male,29.0,0,0,9.5,True,,Southampton,True,-22.704207968574636,-0.4568855200677911,-0.4568855200677911,-0.6991176470588201,-0.04812706264039836
1,3,female,,0,0,7.7875,False,,Queenstown,True,-24.416707968574634,-0.49134681703084965,-0.49134681703084965,,
0,1,male,28.0,0,0,47.1,True,,Southampton,True,14.895792031425366,0.2997537592379046,0.2997537592379046,-1.69911764705882,-0.1169667820250661
1,2,female,17.0,0,0,10.5,False,,Southampton,True,-21.704207968574636,-0.43676213497987365,-0.43676213497987365,-12.69911764705882,-0.8742036952564113
1,3,female,33.0,3,0,15.85,False,,Southampton,False,-16.354207968574634,-0.32910202475951533,-0.32910202475951533,3.30088235294118,0.2272318148982726
0,3,male,16.0,1,3,34.375,True,,Southampton,False,2.170792031425364,0.043683683994155176,0.043683683994155176,-13.69911764705882,-0.943043414641079
0,3,male,,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,,
1,1,female,23.0,3,2,263.0,False,C,Southampton,False,230.79579203142538,4.644392599719279,4.644392599719279,-6.69911764705882,-0.4611653789484048
0,3,male,24.0,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,-5.69911764705882,-0.39232565956373705
0,3,male,29.0,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,-0.6991176470588201,-0.04812706264039836
0,3,male,20.0,0,0,7.8542,True,,Southampton,True,-24.350007968574637,-0.4900045872454856,-0.4900045872454856,-9.69911764705882,-0.667684537102408
0,1,male,46.0,1,0,61.175,True,E,Southampton,False,28.97079203142536,0.5829904043503424,0.5829904043503424,16.30088235294118,1.1221481668989532
0,3,male,26.0,1,2,20.575,True,,Southampton,False,-11.629207968574637,-0.23401903021910547,-0.23401903021910547,-3.69911764705882,-0.2546462207944016
0,3,male,59.0,0,0,7.25,True,,Southampton,True,-24.954207968574636,-0.5021631365156053,-0.5021631365156053,29.30088235294118,2.017064518899634
0,3,male,,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,,
0,1,male,71.0,0,0,34.6542,True,A,Cherbourg,True,2.449992031425367,0.04930213311070178,0.04930213311070178,41.30088235294118,2.843141151515647
1,1,male,23.0,0,1,63.3583,True,D,Cherbourg,False,31.154092031425364,0.6269257910127927,0.6269257910127927,-6.69911764705882,-0.4611653789484048
1,2,female,34.0,0,1,23.0,False,,Southampton,False,-9.204207968574636,-0.18521982138090567,-0.18521982138090567,4.30088235294118,0.29607153428294036
0,2,male,34.0,1,0,26.0,True,,Southampton,False,-6.204207968574636,-0.12484966611715337,-0.12484966611715337,4.30088235294118,0.29607153428294036
0,3,female,28.0,0,0,7.8958,False,,Southampton,True,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,-1.69911764705882,-0.1169667820250661
0,3,male,,0,0,7.8958,True,,Southampton,True,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,,
0,1,male,21.0,0,1,77.2875,True,D,Southampton,False,45.08329203142536,0.907228446579412,0.907228446579412,-8.69911764705882,-0.5988448177177403
0,3,male,33.0,0,0,8.6542,True,,Southampton,True,-23.550007968574636,-0.47390587917515165,-0.47390587917515165,3.30088235294118,0.2272318148982726
0,3,male,37.0,2,0,7.925,True,,Southampton,False,-24.279207968574635,-0.48857985158126105,-0.48857985158126105,7.30088235294118,0.5025906924369435
0,3,male,28.0,0,0,7.8958,True,,Southampton,True,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,-1.69911764705882,-0.1169667820250661
1,3,female,21.0,0,0,7.65,False,,Southampton,True,-24.554207968574637,-0.49411378248043836,-0.49411378248043836,-8.69911764705882,-0.5988448177177403
1,3,male,,0,0,7.775,True,,Southampton,True,-24.429207968574637,-0.4915983593444487,-0.4915983593444487,,
0,3,male,38.0,0,0,7.8958,True,,Southampton,True,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,8.30088235294118,0.5714304118216114
1,3,female,,1,0,24.15,False,,Queenstown,False,-8.054207968574637,-0.16207792852980066,-0.16207792852980066,,
0,1,male,47.0,0,0,52.0,True,C,Southampton,True,19.795792031425364,0.39835834616870003,0.39835834616870003,17.30088235294118,1.190987886283621
0,3,female,14.5,1,0,14.4542,False,,Cherbourg,False,-17.750007968574636,-0.3571902456652305,-0.3571902456652305,-15.19911764705882,-1.0463029937180806
0,3,male,22.0,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,-7.69911764705882,-0.5300050983330725
0,3,female,20.0,1,0,9.825,False,,Southampton,False,-22.379207968574637,-0.45034541991421795,-0.45034541991421795,-9.69911764705882,-0.667684537102408
0,3,female,17.0,0,0,14.4583,False,,Cherbourg,True,-17.745907968574635,-0.35710773978637,-0.35710773978637,-12.69911764705882,-0.8742036952564113
0,3,male,21.0,0,0,7.925,True,,Southampton,True,-24.279207968574635,-0.48857985158126105,-0.48857985158126105,-8.69911764705882,-0.5988448177177403
0,3,male,70.5,0,0,7.75,True,,Queenstown,True,-24.454207968574636,-0.49210144397164657,-0.49210144397164657,40.80088235294118,2.808721291823313
0,2,male,29.0,1,0,21.0,True,,Southampton,False,-11.204207968574636,-0.22546659155674054,-0.22546659155674054,-0.6991176470588201,-0.04812706264039836
0,1,male,24.0,0,1,247.5208,True,B,Cherbourg,False,215.3165920314254,4.332898697266388,4.332898697266388,-5.69911764705882,-0.39232565956373705
0,3,female,2.0,4,2,31.275,False,,Southampton,False,-0.9292079685746373,-0.01869880977838891,-0.01869880977838891,-27.69911764705882,-1.9067994860264275
0,2,male,21.0,2,0,73.5,True,,Southampton,False,41.295792031425364,0.8310111255589249,0.8310111255589249,-8.69911764705882,-0.5988448177177403
0,3,male,,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,,
0,2,male,32.5,1,0,30.0708,True,,Cherbourg,False,-2.1334079685746374,-0.04293139010125909,-0.04293139010125909,2.80088235294118,0.19281195520593875
1,2,female,32.5,0,0,13.0,False,E,Southampton,True,-19.204207968574636,-0.38645367226008004,-0.38645367226008004,2.80088235294118,0.19281195520593875
0,1,male,54.0,0,1,77.2875,True,D,Southampton,False,45.08329203142536,0.907228446579412,0.907228446579412,24.30088235294118,1.6728659219762951
1,3,male,12.0,1,0,11.2417,False,,Cherbourg,False,-20.962507968574634,-0.4218366202601652,-0.4218366202601652,-17.69911764705882,-1.21840229217975
0,3,male,,0,0,7.75,True,,Queenstown,True,-24.454207968574636,-0.49210144397164657,-0.49210144397164657,,
1,3,male,24.0,0,0,7.1417,True,,Southampton,True,-25.062507968574636,-0.5043424991206268,-0.5043424991206268,-5.69911764705882,-0.39232565956373705
1,3,female,,1,1,22.3583,False,F,Cherbourg,False,-9.845907968574636,-0.1981329975918223,-0.1981329975918223,,
0,3,male,45.0,0,0,6.975,True,,Southampton,True,-25.229207968574634,-0.5076970674147826,-0.5076970674147826,15.30088235294118,1.0533084475142855
0,3,male,33.0,0,0,7.8958,True,,Cherbourg,True,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,3.30088235294118,0.2272318148982726
0,3,male,20.0,0,0,7.05,True,,Southampton,True,-25.154207968574635,-0.5061878135331888,-0.5061878135331888,-9.69911764705882,-0.667684537102408
0,3,female,47.0,1,0,14.5,False,,Southampton,False,-17.704207968574636,-0.35626859462820387,-0.35626859462820387,17.30088235294118,1.190987886283621
1,2,female,29.0,1,0,26.0,False,,Southampton,False,-6.204207968574636,-0.12484966611715337,-0.12484966611715337,-0.6991176470588201,-0.04812706264039836
0,2,male,25.0,0,0,13.0,True,,Southampton,True,-19.204207968574636,-0.38645367226008004,-0.38645367226008004,-4.69911764705882,-0.32348594017906934
0,2,male,23.0,0,0,15.0458,True,,Cherbourg,True,-17.158407968574636,-0.3452852510472186,-0.3452852510472186,-6.69911764705882,-0.4611653789484048
1,1,female,19.0,0,2,26.2833,False,D,Southampton,False,-5.920907968574635,-0.11914871112174634,-0.11914871112174634,-10.69911764705882,-0.7365242564870758
0,1,male,37.0,1,0,53.1,True,C,Southampton,False,20.895792031425366,0.4204940697654092,0.4204940697654092,7.30088235294118,0.5025906924369435
0,3,male,16.0,0,0,9.2167,True,,Southampton,True,-22.987507968574636,-0.4625864750631981,-0.4625864750631981,-13.69911764705882,-0.943043414641079
0,1,male,24.0,0,0,79.2,True,B,Cherbourg,True,46.99579203142537,0.9457144205600544,0.9457144205600544,-5.69911764705882,-0.39232565956373705
0,3,female,,0,2,15.2458,False,,Cherbourg,False,-16.958407968574637,-0.34126057402963506,-0.34126057402963506,,
1,3,female,22.0,0,0,7.75,False,,Southampton,True,-24.454207968574636,-0.49210144397164657,-0.49210144397164657,-7.69911764705882,-0.5300050983330725
1,3,female,24.0,1,0,15.85,False,,Southampton,False,-16.354207968574634,-0.32910202475951533,-0.32910202475951533,-5.69911764705882,-0.39232565956373705
0,3,male,19.0,0,0,6.75,True,,Queenstown,True,-25.454207968574636,-0.512224829059564,-0.512224829059564,-10.69911764705882,-0.7365242564870758
0,2,male,18.0,0,0,11.5,True,,Southampton,True,-20.704207968574636,-0.4166387498919562,-0.4166387498919562,-11.69911764705882,-0.8053639758717436
0,2,male,19.0,1,1,36.75,True,,Southampton,False,4.545792031425364,0.0914767235779591,0.0914767235779591,-10.69911764705882,-0.7365242564870758
1,3,male,27.0,0,0,7.7958,True,,Southampton,True,-24.408407968574636,-0.49117979293462,-0.49117979293462,-2.69911764705882,-0.18580650140973384
0,3,female,9.0,2,2,34.375,False,,Southampton,False,2.170792031425364,0.043683683994155176,0.043683683994155176,-20.69911764705882,-1.4249214503337533
0,2,male,36.5,0,2,26.0,True,F,Southampton,False,-6.204207968574636,-0.12484966611715337,-0.12484966611715337,6.80088235294118,0.4681708327446097
0,2,male,42.0,0,0,13.0,True,,Southampton,True,-19.204207968574636,-0.38645367226008004,-0.38645367226008004,12.30088235294118,0.8467892893602823
0,2,male,51.0,0,0,12.525,True,,Southampton,True,-19.679207968574637,-0.39601228017684087,-0.39601228017684087,21.30088235294118,1.466346763822292
1,1,female,22.0,1,0,66.6,False,C,Southampton,False,34.39579203142536,0.6921597684522944,0.6921597684522944,-7.69911764705882,-0.5300050983330725
0,3,male,55.5,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,25.80088235294118,1.7761255010532968
0,3,male,40.5,0,2,14.5,True,,Southampton,False,-17.704207968574636,-0.35626859462820387,-0.35626859462820387,10.80088235294118,0.7435297102832806
0,3,male,,0,0,7.3125,True,,Southampton,True,-24.891707968574636,-0.5009054249476105,-0.5009054249476105,,
0,1,male,51.0,0,1,61.3792,True,,Cherbourg,False,29.17499203142536,0.5870995995852952,0.5870995995852952,21.30088235294118,1.466346763822292
1,3,female,16.0,0,0,7.7333,False,,Queenstown,True,-24.470907968574636,-0.4924375045026148,-0.4924375045026148,-13.69911764705882,-0.943043414641079
0,3,male,30.0,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,0.30088235294117993,0.020712656744269385
0,3,male,,0,0,8.6625,True,,Southampton,True,-23.541707968574634,-0.4737388550789219,-0.4737388550789219,,
0,3,male,,8,2,69.55,True,,Southampton,False,37.34579203142536,0.751523754461651,0.751523754461651,,
0,3,male,44.0,0,1,16.1,True,,Southampton,False,-16.104207968574634,-0.32407117848753597,-0.32407117848753597,14.30088235294118,0.9844687281296177
1,2,female,40.0,0,0,15.75,False,,Southampton,True,-16.454207968574636,-0.33111436326830707,-0.33111436326830707,10.30088235294118,0.7091098505909468
0,3,male,26.0,0,0,7.775,True,,Southampton,True,-24.429207968574637,-0.4915983593444487,-0.4915983593444487,-3.69911764705882,-0.2546462207944016
0,3,male,17.0,0,0,8.6625,True,,Southampton,True,-23.541707968574634,-0.4737388550789219,-0.4737388550789219,-12.69911764705882,-0.8742036952564113
0,3,male,1.0,4,1,39.6875,False,,Southampton,False,7.483292031425364,0.15058916727371655,0.15058916727371655,-28.69911764705882,-1.9756392054110952
1,3,male,9.0,0,2,20.525,False,,Southampton,False,-11.679207968574637,-0.23502519947350137,-0.23502519947350137,-20.69911764705882,-1.4249214503337533
1,1,female,,0,1,55.0,False,E,Southampton,False,22.795792031425364,0.4587285014324523,0.4587285014324523,,
0,3,female,45.0,1,4,27.9,False,,Southampton,False,-4.304207968574637,-0.08661523445011025,-0.08661523445011025,15.30088235294118,1.0533084475142855
0,1,male,,0,0,25.925,True,,Southampton,True,-6.279207968574635,-0.12635891999874715,-0.12635891999874715,,
0,3,male,28.0,0,0,56.4958,True,,Southampton,True,24.291592031425367,0.48882906084695926,0.48882906084695926,-1.69911764705882,-0.1169667820250661
0,1,male,61.0,0,0,33.5,True,B,Southampton,True,1.2957920314253641,0.026075722042227415,0.026075722042227415,31.30088235294118,2.1547439576689693
0,3,male,4.0,4,1,29.125,False,,Queenstown,False,-3.079207968574636,-0.061964087717411374,-0.061964087717411374,-25.69911764705882,-1.7691200472570918
1,3,female,1.0,1,1,11.1333,False,,Southampton,False,-21.070907968574637,-0.42401799520369554,-0.42401799520369554,-28.69911764705882,-1.9756392054110952
0,3,male,21.0,0,0,7.925,True,,Southampton,True,-24.279207968574635,-0.48857985158126105,-0.48857985158126105,-8.69911764705882,-0.5988448177177403
0,1,male,56.0,0,0,30.6958,True,A,Cherbourg,True,-1.5084079685746374,-0.03035427442131069,-0.03035427442131069,26.30088235294118,1.8105453607456308
0,3,male,18.0,1,1,7.8542,True,,Southampton,False,-24.350007968574637,-0.4900045872454856,-0.4900045872454856,-11.69911764705882,-0.8053639758717436
0,3,male,,3,1,25.4667,True,,Southampton,False,-6.737507968574636,-0.13558146738453974,-0.13558146738453974,,
0,1,female,50.0,0,0,28.7125,False,C,Cherbourg,True,-3.4917079685746373,-0.07026498406617734,-0.07026498406617734,20.30088235294118,1.3975070444376243
0,2,male,30.0,0,0,13.0,True,,Southampton,True,-19.204207968574636,-0.38645367226008004,-0.38645367226008004,0.30088235294117993,0.020712656744269385
0,3,male,36.0,0,0,0.0,True,,Southampton,True,-32.204207968574636,-0.6480576784030068,-0.6480576784030068,6.30088235294118,0.43375097305227583
0,3,female,,8,2,69.55,False,,Southampton,False,37.34579203142536,0.751523754461651,0.751523754461651,,
0,2,male,,0,0,15.05,True,,Cherbourg,True,-17.154207968574635,-0.3452007328298493,-0.3452007328298493,,
0,3,male,9.0,4,2,31.3875,False,,Southampton,False,-0.8167079685746366,-0.016434928955998185,-0.016434928955998185,-20.69911764705882,-1.4249214503337533
1,2,male,1.0,2,1,39.0,False,F,Southampton,False,6.795792031425364,0.13675434002577333,0.13675434002577333,-28.69911764705882,-1.9756392054110952
1,3,female,4.0,0,2,22.025,False,,Southampton,False,-10.179207968574637,-0.2048401218416252,-0.2048401218416252,-25.69911764705882,-1.7691200472570918
0,1,male,,0,0,50.0,True,A,Southampton,True,17.795792031425364,0.35811157599286514,0.35811157599286514,,
1,3,female,,1,0,15.5,False,,Queenstown,False,-16.704207968574636,-0.3361452095402864,-0.3361452095402864,,
1,1,male,45.0,0,0,26.55,True,,Southampton,True,-5.654207968574635,-0.11378180431879875,-0.11378180431879875,15.30088235294118,1.0533084475142855
0,3,male,40.0,1,1,15.5,True,,Queenstown,False,-16.704207968574636,-0.3361452095402864,-0.3361452095402864,10.30088235294118,0.7091098505909468
0,3,male,36.0,0,0,7.8958,True,,Southampton,True,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,6.30088235294118,0.43375097305227583
1,2,female,32.0,0,0,13.0,False,,Southampton,True,-19.204207968574636,-0.38645367226008004,-0.38645367226008004,2.30088235294118,0.15839209551360486
0,2,male,19.0,0,0,13.0,True,,Southampton,True,-19.204207968574636,-0.38645367226008004,-0.38645367226008004,-10.69911764705882,-0.7365242564870758
1,3,female,19.0,1,0,7.8542,False,,Southampton,False,-24.350007968574637,-0.4900045872454856,-0.4900045872454856,-10.69911764705882,-0.7365242564870758
